"biz_rest.business_id" "biz_rest.state" "biz_rest.name" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.attributes.RestaurantsTakeOut" "biz_rest.attributes.RestaurantsReservations" "biz_rest.attributes.WiFi" "biz_rest.attributes.Caters" "biz_rest.review_count" "biz_rest.hours.Monday" "biz_rest.hours.Tuesday" "biz_rest.hours.Wednesday" "biz_rest.hours.Thursday" "biz_rest.hours.Friday" "biz_rest.hours.Saturday" "biz_rest.hours.Sunday" "num_checkins"
"125670" "xS5Tg_H9GBEyOTWl9JwhvA" "ON" "Latin World" 4 -79.4408403 43.6586437 TRUE TRUE "free" TRUE 23 "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" 22
"125674" "XS80QAi1aYKK5v1zmKlkwA" "ON" "Kibo Summerhill" 4 -79.3922553 43.6827471 TRUE TRUE "free" TRUE 20 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "12:00-22:00" "16:00-21:30" 6
"125692" "XSCYYvstSpCVW8wC7rJT7w" "NC" "Anntony's Caribbean Cafe" 3.5 -80.796335 35.335473 TRUE FALSE "free" TRUE 91 "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-22:00" "11:30-22:00" "12:00-20:00" 197
"125695" "XsDa4H21KV4ajVTq8px6lA" "EDH" "Clamshell" 3.5 -3.1888372 55.9497898 TRUE FALSE "no" TRUE 28 "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-2:00" "11:00-2:00" "11:00-1:00" 43
"125699" "xsdRrNJuNumvrwoQ2Tt8tQ" "AZ" "Chipotle Mexican Grill" 3.5 -112.112540744 33.7146227507 TRUE FALSE "no" TRUE 94 "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" 781
"125707" "xsFJZu4nME615byZVrpMGA" "ON" "Nespresso Boutique Bar" 4 -79.3934129 43.6697469 TRUE FALSE "no" FALSE 36 "9:00-19:00" "9:00-19:00" "9:00-19:00" "9:00-19:00" "9:00-19:00" "10:00-19:00" "11:00-18:00" 95
"125708" "Xsfu3y0Wz-u7TRXQDTP0tQ" "NC" "Jack in the Box" 2.5 -80.903771 35.136781 TRUE FALSE "no" FALSE 25 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 149
"125719" "xSIkiqB2tuiyJwFmPyNR5Q" "NC" "Romano's Macaroni Grill" 2.5 -80.7711164908 35.0643196416 TRUE TRUE "free" TRUE 61 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 148
"125720" "XSiqtcVEsP6dLOL7ZA9OxA" "ON" "Kenzo Ramen" 3.5 -79.3841996 43.6636891 TRUE TRUE "no" FALSE 76 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 168
"125733" "XSLuIu3_2Svkhq8LeNkH0A" "BW" "Beykebab" 4 9.17358 48.77376 TRUE FALSE "no" FALSE 66 "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-2:00" "10:00-5:00" "10:00-6:00" "11:00-2:00" 30
"125736" "xsM4tE7cQxpAcXIWn0AtXA" "AZ" "Bink's Kitchen & Bar - Scottsdale" 3.5 -111.924671553 33.5257467786 TRUE TRUE "free" TRUE 122 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "10:00-21:00" 240
"125744" "Xspg78dOvuedvuPEUwZBjw" "NV" "The Beat Coffeehouse & Records" 4 -115.1395836 36.1691083 TRUE FALSE "free" FALSE 329 "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-22:00" "9:00-22:00" "9:00-17:00" 2018
"125754" "xSs1Z1OrWC_KmhY0SPKJ1Q" "NC" "Shiki Four Seasons Restaurant" 3.5 -80.7351694 35.1386774 TRUE TRUE "free" TRUE 76 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:30" "11:00-21:00" "11:00-21:00" 136
"125756" "XsSgv3vBOyOBXn3Co8EVIg" "NV" "Q Bistro" 4.5 -115.224192 36.127325 TRUE TRUE "free" TRUE 274 "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-3:30" "17:00-3:30" "17:00-2:30" 1291
"125757" "xsTagHpGvtH5WoDJJGnq7Q" "OH" "Burger Fresh" 3.5 -81.6223658 41.3201272 TRUE FALSE "no" FALSE 45 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 36
"125767" "xswOBJzAg4MtfDjbYWjx1A" "NC" "East Coast Wings & Grill" 3.5 -80.591998 35.464626 TRUE FALSE "free" TRUE 39 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "12:00-23:00" "12:00-22:00" 204
"125773" "XSY26vVt9qvLh3SAECPzkg" "NC" "The Melting Pot - Lake Norman" 4.5 -80.8672305 35.4412934 FALSE TRUE "no" FALSE 60 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-23:00" "16:00-23:00" "15:00-21:00" 147
"125793" "XT25YpQoNDuzAZHur-HZ8g" "ON" "Pizzeria Libretto" 3.5 -79.3848424 43.6485343 TRUE TRUE "no" TRUE 202 "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" 352
"125795" "Xt2l1M7zrUrpJzXp9A7Zbg" "NC" "KFC" 2 -80.8781245091 35.1778960561 TRUE FALSE "free" TRUE 4 "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-0:00" "10:00-0:00" "10:00-23:00" 27
"125799" "XT3dn-9UsGhiEy-_ZU_M_Q" "PA" "Barrel Junction" 4 -79.93983 40.633089 TRUE FALSE "free" FALSE 52 "16:00-0:00" "16:00-0:00" "16:00-0:00" "16:00-0:00" "12:00-0:00" "12:00-0:00" "12:00-22:00" 127
"125811" "XTB-U4e2MCDzyRQ1EpPtLA" "OH" "Lone Star Steakhouse" 2 -81.8995466 41.4150377 TRUE TRUE "no" FALSE 40 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 46
"125812" "xTBhu4RsILyo82lVPBMG8A" "AZ" "Taco Bell" 3.5 -111.911042 33.363644 TRUE FALSE "no" FALSE 15 "8:00-1:00" "8:00-1:00" "8:00-1:00" "8:00-1:00" "8:00-2:00" "8:00-2:00" "8:00-1:00" 194
"125819" "xtDZdPaHwhAwoo77QV9Oeg" "WI" "Fleming's Prime Steakhouse & Wine Bar" 3.5 -89.4516163 43.0746502 FALSE TRUE "no" FALSE 107 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "16:30-22:00" "16:00-21:00" 175
"125830" "xthPwYusyF7mE2SO61lZTA" "ON" "UFO Restaurant" 4 -79.4088666 43.6439259 TRUE FALSE "no" FALSE 22 "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-19:00" "7:00-19:00" "9:00-19:00" "9:00-19:00" 46
"125834" "XtJbDZODXi3mXHLoScGtwg" "ON" "Piggy's Restaurant" 4 -79.420328 43.80543 TRUE TRUE "free" FALSE 150 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "11:00-23:00" 466
"125837" "xtktc6OTdtilAREgJH-P4g" "QC" "Burger Bar Crescent" 4 -73.5768317 45.4977502 TRUE TRUE "free" TRUE 288 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" 482
"125852" "XtO9u4T3uFYB_fT2VZW6xQ" "QC" "Café Les Entretiens" 4.5 -73.5825811 45.5350836 FALSE TRUE "no" FALSE 32 "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" 63
"125867" "XTtNTWH_Nqv27RC7OtS7dQ" "NV" "Jardin" 3.5 -115.164241525 36.1287446859 FALSE TRUE "free" FALSE 200 "7:00-23:00" "7:00-23:00" "7:00-23:00" "7:00-23:00" "7:00-0:00" "7:00-0:00" "7:00-23:00" 504
"125873" "XTumKkL8Ns3StEvW1nwcow" "OH" "Fazio's Restaurant" 2 -81.902066 41.3748099 TRUE FALSE "free" TRUE 4 "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-22:00" "7:00-23:00" "7:00-23:00" "8:00-15:00" 1
"125879" "xTVH9u9vuub_v_YHFveDoQ" "AZ" "Arizona Golf Resort & Conference Center" 3 -111.6824236 33.4068002 TRUE TRUE "free" TRUE 80 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 168
"125881" "xTvyegdWKwSiRbDiqIQafQ" "QC" "Pizza St Sauveur" 3 -74.1539672 45.8966688 TRUE FALSE "free" FALSE 4 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "15:00-22:00" 3
"125889" "XTYEhwaaO_YjXcOGL_uBIQ" "AZ" "Masa Sushi" 4 -111.857029627 33.3491302409 TRUE TRUE "free" TRUE 86 "11:00-14:45" "11:00-14:45" "11:00-14:45" "11:00-14:45" "11:00-22:00" "12:00-22:00" "16:00-21:00" 215
"125891" "XtyVW7s4Q_hwluJ-wdv79g" "AZ" "McDonald's" 2 -112.0561283 33.3058077 TRUE FALSE "free" FALSE 13 "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-0:00" "5:00-0:00" "5:00-23:00" 51
"125907" "Xu1LmNNHmOuMBBtUrbuyRg" "AZ" "McDonald's" 2 -111.842241883 33.3201612105 TRUE FALSE "free" FALSE 27 "4:00-23:00" "4:00-23:00" "4:00-23:00" "4:00-23:00" "4:00-23:00" "4:00-23:00" "4:00-23:00" 128
"125913" "xu3cVLDeZ3RLJFh-IY5DGw" "PA" "Applebee's" 2.5 -79.938709 40.639624 TRUE TRUE "free" FALSE 10 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-1:00" "11:00-1:00" "11:00-0:00" 34
"125931" "XUA7xA7myMaCuN6G3xYdIA" "OH" "Number One Pho" 3 -81.669079 41.51075 TRUE TRUE "no" FALSE 160 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:30" "11:00-22:30" "11:00-21:30" 275
"125936" "XUB8hp83Wv6AXou544uIlQ" "ON" "Caffe Artigiano" 4.5 -79.377744 43.6487989 TRUE FALSE "free" TRUE 19 "5:30-18:00" "5:30-18:00" "5:30-19:00" "5:30-19:30" "5:30-19:30" "9:00-18:00" "9:00-18:00" 89
"125941" "XuByFsXXhnKmZ6hxucOj7A" "IL" "301 Mongolia" 3.5 -88.2443626 40.118742 TRUE TRUE "free" FALSE 60 "16:00-21:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-23:00" "16:00-23:00" "16:00-21:00" 98
"125943" "XUcJiJx4x1RBtE31XrNexw" "OH" "Market" 3.5 -81.8402898 41.4817724 TRUE FALSE "free" FALSE 148 "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "11:30-1:00" "10:00-22:00" 407
"125945" "xuD16x4Jlc__QMtl-AY6Xg" "ON" "Emperor Fine Chinese Cuisine" 3 -79.4080722 43.8510009 TRUE TRUE "no" FALSE 38 "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" 116
"125949" "XUDOc980cjB0PZvVS-T6Eg" "PA" "Jimmy Wans" 3.5 -79.874634 40.4888872 TRUE TRUE "free" TRUE 86 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-23:00" "10:00-23:00" "11:30-21:30" 222
"125951" "xUEoAG8qto7HXQnEqMcuuA" "NV" "Cheeburger Cheeburger" 3 -115.1186609 36.0100415 TRUE TRUE "free" FALSE 138 "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-21:00" "11:00-21:00" "11:00-20:00" 311
"125955" "xUfKsDFU-RlVK-m2mDoIdQ" "OH" "Grind Burger" 3.5 -81.4783134 41.5389782 TRUE FALSE "free" FALSE 114 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-0:00" "11:00-0:00" "11:00-22:00" 98
"125975" "XuJNM9O8NNQ8KA7qMYqkyg" "ON" "Grace O'Malley's" 2.5 -79.3885854 43.6476863 TRUE TRUE "free" FALSE 81 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-2:00" "11:00-2:00" "16:00-2:00" "16:00-0:00" 149
"125978" "xULATz2siGXOPia614mg2A" "PA" "Lulu's Noodles" 2.5 -79.9490518 40.4451455 TRUE FALSE "no" TRUE 339 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 600
"125980" "XUlQ4BVoZH6rnAT40cYGOQ" "AZ" "The Good Egg - Park Central" 3.5 -112.075081678 33.4835840514 TRUE FALSE "free" FALSE 166 "6:30-14:30" "6:30-14:30" "6:30-14:30" "6:30-14:30" "6:30-14:30" "6:30-14:30" "6:30-14:30" 689
"125999" "XURVF3UPIfuMbckfcu5Ztg" "AZ" "Thai Kitchen" 4 -111.5997393 33.3947882 TRUE FALSE "free" TRUE 96 "17:00-21:00" "17:00-21:00" "17:00-21:00" "17:00-21:00" "11:00-15:00" "17:00-21:00" "16:00-21:00" 139
"126008" "xUvgrDdKhcmaP6Zv0ssb6A" "AZ" "Manuel's Mexican Restaurant - Tempe" 3.5 -111.8882424 33.3935107 TRUE TRUE "free" TRUE 117 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 492
"126033" "XuZ9pksVQBIpmVQm6UO2YQ" "ON" "Tenon Vegetarian Cuisine" 4 -79.303184 43.860397 TRUE TRUE "no" TRUE 67 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 66
"126034" "XuZqb9sVliEQuz-RuESOlQ" "ON" "Kanda Sushi Japanese Buffet" 3 -79.6081393 43.5748247 TRUE TRUE "no" FALSE 54 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 65
"126039" "XV-wZ7gvoixa2AYSr1EevA" "OH" "Fox's Pizza Den" 2.5 -81.9035169649 41.4156346835 TRUE TRUE "free" TRUE 7 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 4
"126070" "XVA_j7ACtBZ7vx7Hda6eJw" "NV" "Capriotti's Sandwich Shop" 3.5 -115.259042287 36.2187080141 TRUE FALSE "no" TRUE 72 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" 759
"126073" "xvA7fdaq5k3xeDvrzLZkzw" "OH" "QDOBA Mexican Eats" 3 -81.4515694184 41.5394696181 TRUE FALSE "no" TRUE 12 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:30" "11:00-22:30" "11:00-22:30" "11:00-21:00" 76
"126081" "xVc9DX82I5TUXABRvgmGvQ" "BW" "China-Restaurant Shanghai" 4.5 9.0713529 48.8028784 TRUE TRUE "no" FALSE 22 "17:30-23:30" "17:30-23:30" "17:30-23:30" "17:30-23:30" "17:30-23:30" "17:30-23:30" "17:30-23:30" 10
"126083" "xvcGZGoLwWpmDMMY1VN-OA" "AZ" "Thirsty Lion Gastropub & Grill" 4 -111.9294198 33.5028371 TRUE TRUE "free" FALSE 219 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-21:00" 714
"126087" "xvdDcG7oWT_KxU9fnd2j_w" "NV" "Breakfast & Grill Cafe" 4 -115.1364724 36.1067927 TRUE FALSE "free" TRUE 49 "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" "9:00-15:00" "9:00-15:00" 87
"126090" "XVDR44P_74FmA0ANanm4CQ" "NC" "House of Pizza" 3.5 -80.782679 35.2154418 TRUE FALSE "no" TRUE 74 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 151
"126091" "xVel-geulMD5JtfoN_34YQ" "OH" "Cleveland Pizza" 4 -81.3450132 41.4146573 TRUE FALSE "no" TRUE 7 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-23:00" "10:00-23:00" "10:00-22:00" 3
"126092" "xVEtGucSRLk5pxxN0t4i6g" "NV" "Eiffel Tower" 4 -115.172189 36.112477 FALSE TRUE "free" FALSE 1439 "16:30-0:00" "16:30-0:00" "16:30-0:00" "16:30-0:00" "16:30-0:00" "16:30-0:00" "16:30-0:00" 2901
"126095" "xvfAxe6F0azYjfLSm8ISMA" "NV" "Don Vito's Italian" 3.5 -115.175816 36.011877 FALSE TRUE "no" FALSE 137 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-23:00" "17:00-23:00" "17:00-22:00" 295
"126102" "XvhSYgpJx6mc5MycXac-Iw" "AZ" "Jimmy John's" 3 -112.277288 33.4652553 TRUE FALSE "no" TRUE 53 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 232
"126103" "xVHzCbDWCwmyavF5PgJRmg" "ON" "Not Just Noodles" 3.5 -79.3845928 43.6649731 TRUE TRUE "no" TRUE 124 "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "12:00-1:00" 187
"126120" "xVmR_J2FjrGNOrWn_y2QKg" "BW" "Brauhaus Schönbuch" 3.5 9.1782501749 48.7803247492 FALSE TRUE "free" FALSE 79 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-0:00" 73
"126123" "XVN0Mg7oABOWAWO3t9tXpw" "AZ" "Rubio's" 3 -111.9777108 33.317289 TRUE FALSE "no" TRUE 62 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-22:00" "10:00-22:00" "11:00-21:00" 446
"126130" "xVopquE2JKetpNJkor_jOA" "PA" "Juniper Grill" 4 -79.6611274 40.4215892 TRUE TRUE "no" TRUE 59 "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 105
"126131" "XvOzizKafffkMuk-tIdNcQ" "NV" "Squeeze In" 4 -115.115198176 36.029380621 TRUE FALSE "free" TRUE 150 "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" 563
"126137" "xVpE01l6ZXdEtVf5PkRpDg" "WI" "Julep" 4 -89.3740063545 43.0810216648 FALSE TRUE "free" FALSE 93 "9:00-15:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-23:00" "16:00-23:00" "10:00-14:00" 96
"126146" "XVS-zdj4Z6TihagZcZZ7pQ" "AZ" "Mikado Sushi" 4 -111.8569497 33.2605071 TRUE FALSE "no" FALSE 169 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "12:00-21:30" "16:00-21:00" 500
"126153" "XvTBQotmJpVPjPNaMM7qLA" "AZ" "Pita Jungle" 4 -111.917897878 33.4152240101 TRUE FALSE "no" TRUE 370 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" 1461
"126155" "xVtdfNY51JlTpXLGzQs5ag" "AZ" "The Egg & I" 3.5 -111.718143962 33.2626725322 TRUE FALSE "free" FALSE 187 "6:00-14:00" "6:00-14:00" "6:00-14:00" "6:00-14:00" "6:00-14:00" "7:00-14:30" "7:00-14:30" 387
"126159" "XvUu2SolFWL94EPEBrjEYQ" "ON" "Flo's Diner" 3.5 -79.3909664 43.6713528 TRUE TRUE "free" FALSE 83 "7:30-16:00" "7:30-20:00" "7:30-20:00" "7:30-21:00" "7:30-21:00" "8:00-21:00" "8:00-16:00" 156
"126162" "XVVFgEY-0MsyEAR8SO7dzg" "NV" "California Pizza Kitchen" 2 -115.137765898 36.0814661072 TRUE FALSE "free" FALSE 155 "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" "7:00-21:30" 706
"126165" "xvWNuKzFoZTWpznbxYM1SA" "AZ" "Los Armandos Asadero Y Mariscos" 3 -112.1849128 33.4663317 TRUE FALSE "no" FALSE 23 "6:00-6:00" "6:00-6:00" "6:00-6:00" "6:00-6:00" "6:00-6:00" "6:00-6:00" "20:00-3:00" 79
"126175" "XvYtp_rwIWdd382zbQ6XjA" "AZ" "Jojo's Pizza & Family Restaurant" 4 -112.1417801 33.6991852 TRUE FALSE "free" TRUE 84 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "11:00-22:00" "11:00-21:30" 238
"126176" "XvYwUnuWEai7p-95cj8S1w" "AZ" "Barro's Pizza" 3.5 -111.9477553 33.3334387 TRUE FALSE "no" TRUE 30 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "10:30-22:00" 250
"126177" "xvzBdWsUs4AotOVrq_z8dA" "BW" "Feuerbacher Wichtel" 3.5 9.16589 48.81051 TRUE TRUE "free" FALSE 53 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-1:00" "11:00-1:00" "11:00-23:00" 25
"126186" "xw2mHGjTOs-VheN8707czQ" "PA" "Bronze Hood Lounge" 2.5 -80.1423409 40.4489343 TRUE FALSE "free" TRUE 20 "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-2:00" "16:00-2:00" "12:00-0:00" 39
"126192" "xW4dkUdC4bDDrTE8RA6W3Q" "NC" "Social Bar & Kitchen" 3 -80.8382539 35.2168065 TRUE TRUE "no" FALSE 7 "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" 9
"126194" "Xw50tINqzrI_BM_x7_IcZA" "ON" "Crêpes à GoGo Spadina" 4 -79.4042065367 43.6664892104 TRUE TRUE "no" FALSE 68 "8:00-20:00" "8:00-20:00" "8:00-20:00" "8:00-20:00" "8:00-20:00" "8:00-20:00" "8:00-17:00" 86
"126197" "xw6G0T2VQZAtta6RcZoAOQ" "NV" "Cafe Rio" 3 -115.294935 36.1446524 TRUE FALSE "no" TRUE 251 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "10:30-23:00" "11:00-22:00" 1311
"126222" "xwG4o2gqxog3kRtLGMlyYg" "OH" "Belleria Pizza & Italian Restaurant" 3.5 -81.3261689 41.155702 TRUE FALSE "free" TRUE 6 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "12:00-23:00" "11:30-22:00" 6
"126225" "xWGn7oqLOZu_00H8pZOtsQ" "IL" "Cracked the Egg Came First" 4.5 -88.2296092 40.1100646 TRUE FALSE "no" TRUE 60 "8:00-14:00" "8:00-14:00" "8:00-3:00" "8:00-3:00" "8:00-3:00" "8:00-3:00" "9:00-21:00" 125
"126228" "xWH3Ya71LryUO_2xvdrLNA" "NC" "Atlas Kabob House" 3 -80.5822461 35.4113027 TRUE FALSE "free" TRUE 6 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-22:00" "10:00-22:00" "10:00-20:00" 7
"126241" "XwJ6fZRVbxQYRsryy4-qDw" "NV" "Urban Crawfish Station" 4.5 -115.207247559 36.1249038512 TRUE FALSE "free" TRUE 314 "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-0:00" "12:00-0:00" "12:00-23:00" 1304
"126258" "xwoM2Zc38DFKv3-8dCU8Pw" "NV" "Manhattan Pizza IV" 3 -115.2509515 36.232204 TRUE FALSE "no" TRUE 44 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "10:30-22:00" 72
"126262" "XwPDiSASKZLpMgdO5tTyEA" "SC" "Los Aztecas" 3.5 -80.8534331808 34.9573509649 TRUE FALSE "no" FALSE 16 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:30-23:00" "11:30-22:30" "11:30-21:30" 77
"126263" "xwPKDhVW_eHqvrbL8C34KQ" "ON" "Thai Lime" 3.5 -79.452663 43.6651116 TRUE TRUE "free" TRUE 80 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 49
"126265" "xWpy6al-9u02BZz00Kbbyg" "NV" "Toto's Mexican Restaurant" 4 -114.8459677 35.9721204 TRUE FALSE "no" TRUE 108 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 151
"126266" "xWq3LQw8w4OIK-fSiGwNLg" "NV" "Fat Boy" 4.5 -115.055440776 36.0172756313 TRUE FALSE "no" TRUE 131 "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-20:00" "9:00-21:00" "9:00-21:00" "9:00-20:00" 158
"126278" "XWTPNfskXoUL-Lf32wSk0Q" "ON" "Rosedale Diner" 3.5 -79.3912254 43.680359 TRUE TRUE "no" FALSE 72 "11:30-21:00" "11:30-21:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "10:00-22:30" "10:00-21:00" 175
"126285" "xWuzWH8qYaa75REqVd9Isw" "EDH" "The Scran & Scallie" 4.5 -3.214468 55.959153 FALSE TRUE "free" FALSE 59 "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "8:30-23:00" "8:30-23:00" 126
"126289" "Xww2E2ym5cWX3-91Ml5Bfw" "NV" "The Cantina Mexican Restaurant" 3.5 -115.159807205 36.1130813524 TRUE TRUE "no" FALSE 94 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-0:00" "10:00-0:00" "10:00-21:30" 302
"126292" "XWxYHSld0T2TfANwt1KmqA" "NV" "Cafe Americano" 3.5 -115.1745719 36.1162194 TRUE TRUE "free" FALSE 184 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 433
"126314" "Xx5iZEAEJOcQi7zaYVC4sA" "AZ" "Bruno's Pizza" 2.5 -112.3631091 33.4865569 TRUE FALSE "no" TRUE 36 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "11:30-22:00" 47
"126318" "xxAGaqYnboeR0SilS7DbAg" "NV" "Stripchezze Food Truck" 4.5 -115.1236952 36.1697096 TRUE TRUE "no" TRUE 49 "17:00-20:00" "22:00-1:00" "17:00-21:00" "19:00-22:00" "5:30-5:30" "19:00-23:00" "17:00-5:30" 75
